0,1,2,3,4,5,Clusters
3.548963376837183,1.5815880963977769,5.458982403723132,2.3993537820416337,3.868434191146522,1.3181350817029494,5
1.362786684040517,3.9873925517184854,2.707192149841205,2.4197859059016316,1.8969334923867072,2.158464400005032,0
4.919393548738612,2.1885115193979057,6.677260512043953,3.3586417659805297,4.990946113301622,3.0839642364052313,1
2.9153851615081567,2.796302773262601,4.822828128924587,2.389252166180311,3.493019833583826,1.8198121952902366,5
2.191305809175659,6.02378857378789,1.9377291223456488,4.054198027223119,2.7705090528511493,4.230644082261946,2
3.48879213596262,2.4634282603595725,4.720043481591633,1.8773905285264834,2.978129048578408,2.4633199896320312,3
3.0728175438248737,1.9543828266235623,4.46453539962351,0.9755683941850396,2.5779310212998467,1.956197125898775,3
4.9491630185802284,1.399245029158234,6.473679006118805,2.9192338342482005,4.60165163208232,3.0247981318486645,1
2.4509331077737566,4.995948341325623,2.327755052396346,2.9125116424357946,1.7735157007730402,3.78634144881502,4
2.9805539041858955,3.320952372771792,3.894563580005551,1.9790013440479248,2.360985812659863,2.7754737511736236,3
4.607865801735293,0.7966372687565604,6.341858190800263,2.817796181570743,4.53458202767348,2.369121546943017,1
1.3597838024319628,4.967266347605679,2.0161617183779197,3.1118027275839673,2.055061889076417,3.153187515748294,0
2.5918393596588567,2.947695315787977,3.5864573630206804,1.3030249173676565,1.790710315133947,2.2964257596555737,3
2.6186337439706904,2.2955680161784744,4.536551106594176,1.9420378555199496,3.089408033280491,0.9856286342162061,5
2.4447221555252194,4.230522302644001,3.141348133495756,2.6885554021948477,2.2189583834186752,2.962276869275813,4
2.854048494884761,5.923547994053932,1.8720757068937124,3.7697617952293347,2.238508101217671,4.583181983937087,2
2.5909887987576066,5.078415210293741,2.4439927163599493,3.0383044684024445,1.9809200204075752,3.9011367537530286,4
2.107141603352092,3.232804656748556,3.7231674365707588,2.198151588889289,2.5304142635559916,1.6192539932749375,5
1.2647308497292538,4.893879345530291,1.8512417275808302,3.0473763541129983,1.8577459909875615,3.0399123362285354,0
